Agent,1,2,3,4,5,6,7,8,9,10,11
"Date 
(month/day/year)",Min_Power,Min_Power,Min_Power,Min_Power,Min_Power,Min_Power,Min_Power,Min_Power,Min_Power,Min_Power,Min_Power
01/07/2012 00:00,0.59,45.81,1.38,0.19,1.89,1.21,0.19,0.01,1.49,0.99,0.53
01/07/2012 00:30,7.38,42.18,1.29,0.21,0.77,0.99,0.26,0.03,0.04,0.91,0.54
01/07/2012 01:00,6.78,40.52,1.29,0.19,0.75,1.12,0.19,0.02,0.08,0.84,0.54
01/07/2012 01:30,5.21,59.40,1.26,0.20,0.54,0.73,0.11,0.01,0.02,0.95,0.42
01/07/2012 02:00,4.69,2.62,1.29,0.15,0.65,1.02,0.19,0.03,0.10,0.78,0.46
01/07/2012 02:30,5.15,2.58,1.32,0.20,0.51,0.77,0.10,0.03,0.21,0.91,0.54
01/07/2012 03:00,5.28,2.45,1.40,0.14,0.72,1.18,0.18,0.01,0.07,0.85,0.51
01/07/2012 03:30,10.74,2.93,1.27,0.15,0.49,0.86,0.10,0.01,0.13,0.88,0.37
01/07/2012 04:00,5.74,2.84,1.40,0.18,0.59,1.03,0.18,0.04,0.04,0.92,0.53
01/07/2012 04:30,0.66,5.29,1.43,0.13,0.63,0.69,0.11,0.01,0.04,0.83,0.53
01/07/2012 05:00,1.21,2.75,1.47,0.15,0.42,0.98,0.17,0.01,0.08,0.92,0.35
01/07/2012 05:30,5.67,3.80,1.46,0.16,0.73,0.54,0.11,0.04,0.02,0.91,1.83
01/07/2012 06:00,2.91,2.93,1.46,0.15,0.48,1.08,0.16,0.02,0.10,1.21,0.54
01/07/2012 06:30,0.41,2.27,1.27,0.17,0.53,0.57,0.12,0.01,0.03,1.11,0.47
01/07/2012 07:00,0.87,2.19,1.41,0.15,0.66,1.23,0.16,0.01,0.02,0.94,0.41
01/07/2012 07:30,0.43,2.49,1.49,0.11,0.86,0.99,0.13,0.05,0.09,1.00,0.53
01/07/2012 08:00,1.89,3.15,1.40,0.34,3.18,2.63,0.13,0.01,0.02,1.07,0.61
01/07/2012 08:30,2.88,2.49,1.31,0.31,2.93,1.59,0.13,0.01,0.05,0.98,1.69
01/07/2012 09:00,1.41,1.84,1.15,0.36,2.84,1.42,0.88,0.72,0.06,0.95,0.85
01/07/2012 09:30,3.23,2.54,5.16,0.30,2.29,5.20,3.26,0.05,0.02,1.06,0.93
01/07/2012 10:00,1.73,2.93,2.90,0.13,1.71,4.70,2.38,0.06,0.07,2.80,1.01
01/07/2012 10:30,0.66,2.58,2.76,0.17,0.81,4.21,2.27,1.07,0.04,1.43,0.75
01/07/2012 11:00,3.28,1.75,2.76,0.33,0.78,4.62,1.56,0.01,0.02,1.15,0.87
01/07/2012 11:30,0.44,2.58,3.01,0.25,0.84,3.04,0.74,0.01,0.09,0.72,1.77
01/07/2012 12:00,0.95,2.80,3.22,0.19,1.19,3.16,0.25,0.04,0.02,1.68,0.84
01/07/2012 12:30,0.37,2.80,3.29,0.15,1.00,2.36,2.34,0.01,0.02,8.72,0.63
01/07/2012 13:00,0.94,22.47,3.01,0.19,3.58,6.14,5.66,0.01,0.09,1.12,0.88
01/07/2012 13:30,2.52,15.91,2.90,0.16,1.94,4.91,4.91,0.04,0.02,0.82,2.68
01/07/2012 14:00,0.94,4.76,4.10,0.28,0.95,3.33,1.48,0.01,0.03,0.97,0.74
01/07/2012 14:30,0.36,11.10,5.73,0.29,1.25,2.04,0.74,0.01,0.07,1.06,0.89
01/07/2012 15:00,0.92,2.23,5.76,0.17,1.23,0.90,1.02,0.04,0.02,1.07,0.80
01/07/2012 15:30,0.37,1.92,5.59,0.19,1.84,1.32,0.59,0.01,0.06,0.80,0.68
01/07/2012 16:00,3.53,2.84,5.21,0.15,2.14,0.74,0.51,0.01,0.54,0.81,1.38
01/07/2012 16:30,1.15,5.33,4.48,0.12,1.41,1.20,0.51,0.04,2.91,0.79,0.88
01/07/2012 17:00,0.85,2.88,4.45,0.20,2.30,3.17,0.43,0.04,3.95,0.74,0.83
01/07/2012 17:30,0.75,4.76,4.45,0.12,3.78,14.73,1.24,0.32,2.83,0.77,1.61
01/07/2012 18:00,0.75,1.75,4.51,0.15,4.04,14.55,3.37,0.64,2.80,0.66,1.19
01/07/2012 18:30,3.32,3.10,20.51,0.17,2.92,14.72,2.31,1.47,2.06,0.81,1.66
01/07/2012 19:00,1.82,3.02,38.43,0.12,3.58,14.24,3.13,1.22,1.22,0.81,0.93
01/07/2012 19:30,2.84,1.84,38.39,0.20,4.69,10.59,2.57,1.44,2.08,0.69,0.96
01/07/2012 20:00,3.23,3.15,5.60,0.13,3.85,0.82,1.70,1.25,2.33,9.93,1.09
01/07/2012 20:30,3.86,2.93,2.90,0.12,3.15,1.34,2.11,1.44,1.84,11.23,4.84
01/07/2012 21:00,4.74,1.92,2.40,0.15,3.13,0.83,1.79,1.48,1.64,9.25,0.79
01/07/2012 21:30,1.17,2.45,1.49,0.49,3.11,1.23,1.67,1.45,1.42,4.17,0.71
01/07/2012 22:00,2.48,3.02,1.32,0.35,2.87,0.73,1.92,1.37,1.73,1.05,0.87
01/07/2012 22:30,1.56,26.05,1.40,0.16,2.73,1.18,1.36,0.05,1.49,1.17,0.87
01/07/2012 23:00,5.62,47.16,1.43,0.16,2.49,0.86,1.19,0.02,1.59,1.04,0.48
01/07/2012 23:30,0.78,45.32,1.43,0.11,2.79,1.84,0.30,0.04,1.44,0.93,0.75
02/07/2012 00:00,0.58,2.10,1.32,0.26,0.47,0.43,0.18,0.01,0.08,0.77,0.54
02/07/2012 00:30,2.67,45.63,1.44,0.11,0.45,0.90,0.10,0.03,1.60,0.91,0.49
02/07/2012 01:00,0.71,43.36,1.40,0.18,1.17,0.50,0.17,0.02,0.74,0.98,0.43
02/07/2012 01:30,0.51,19.58,1.34,0.13,0.98,0.89,0.10,0.01,0.11,0.96,0.52
02/07/2012 02:00,0.84,3.10,1.23,0.16,0.95,0.38,0.17,0.04,0.03,0.87,0.53
02/07/2012 02:30,2.50,3.02,1.43,0.15,0.93,0.86,0.10,0.01,0.10,1.02,0.36
02/07/2012 03:00,1.34,2.62,1.50,0.16,0.70,0.55,0.26,0.01,0.04,0.99,0.52
02/07/2012 03:30,6.07,2.05,1.47,0.12,0.83,0.79,0.21,0.03,0.04,0.97,0.53
02/07/2012 04:00,5.94,1.97,1.52,0.19,0.65,0.66,0.21,0.02,0.07,0.88,0.43
02/07/2012 04:30,0.38,5.46,1.32,0.11,0.79,1.12,0.10,0.01,0.05,0.91,0.45
02/07/2012 05:00,3.41,3.72,1.52,0.22,0.76,0.64,0.18,0.01,0.09,0.98,0.54
02/07/2012 05:30,5.52,2.19,1.50,0.15,0.61,0.55,0.10,0.04,0.02,0.86,2.03
02/07/2012 06:00,0.78,3.32,1.50,0.47,0.88,0.71,0.16,0.01,0.09,0.95,0.84
02/07/2012 06:30,0.56,2.14,1.34,0.16,0.66,0.77,0.10,0.01,1.82,0.89,1.02
02/07/2012 07:00,0.67,2.01,1.40,0.16,0.65,3.37,0.17,0.03,1.77,0.93,0.96
