"Date 
(month/day/year)",Market price ($/MWh),,,,,,,,,,,
01/07/2012 00:00,52.00,,,,,,,,,,,
01/07/2012 00:30,51.10,,,,,,,,,,,
01/07/2012 01:00,42.21,,,,,,,,,,,
01/07/2012 01:30,42.23,,,,,,,,,,,
01/07/2012 02:00,42.23,,,,,,,,,,,
01/07/2012 02:30,42.23,,,,,,,,,,,
01/07/2012 03:00,42.23,,,,,,,,,,,
01/07/2012 03:30,42.23,,,,,,,,,,,
01/07/2012 04:00,42.39,,,,,,,,,,,
01/07/2012 04:30,42.75,,,,,,,,,,,
01/07/2012 05:00,42.94,,,,,,,,,,,
01/07/2012 05:30,42.92,,,,,,,,,,,
01/07/2012 06:00,52.00,,,,,,,,,,,
01/07/2012 06:30,51.19,,,,,,,,,,,
01/07/2012 07:00,53.93,,,,,,,,,,,
01/07/2012 07:30,59.81,,,,,,,,,,,
01/07/2012 08:00,51.47,,,,,,,,,,,
01/07/2012 08:30,52.97,,,,,,,,,,,
01/07/2012 09:00,71.26,,,,,,,,,,,
01/07/2012 09:30,61.29,,,,,,,,,,,
01/07/2012 10:00,58.50,,,,,,,,,,,
01/07/2012 10:30,49.24,,,,,,,,,,,
01/07/2012 11:00,48.60,,,,,,,,,,,
01/07/2012 11:30,48.60,,,,,,,,,,,
01/07/2012 12:00,48.60,,,,,,,,,,,
01/07/2012 12:30,48.60,,,,,,,,,,,
01/07/2012 13:00,46.90,,,,,,,,,,,
01/07/2012 13:30,43.30,,,,,,,,,,,
01/07/2012 14:00,46.96,,,,,,,,,,,
01/07/2012 14:30,49.99,,,,,,,,,,,
01/07/2012 15:00,52.27,,,,,,,,,,,
01/07/2012 15:30,59.22,,,,,,,,,,,
01/07/2012 16:00,68.27,,,,,,,,,,,
01/07/2012 16:30,75.10,,,,,,,,,,,
01/07/2012 17:00,84.74,,,,,,,,,,,
01/07/2012 17:30,89.59,,,,,,,,,,,
01/07/2012 18:00,89.71,,,,,,,,,,,
01/07/2012 18:30,89.65,,,,,,,,,,,
01/07/2012 19:00,87.95,,,,,,,,,,,
01/07/2012 19:30,86.94,,,,,,,,,,,
01/07/2012 20:00,85.02,,,,,,,,,,,
01/07/2012 20:30,85.40,,,,,,,,,,,
01/07/2012 21:00,78.58,,,,,,,,,,,
01/07/2012 21:30,76.30,,,,,,,,,,,
01/07/2012 22:00,64.75,,,,,,,,,,,
01/07/2012 22:30,48.60,,,,,,,,,,,
01/07/2012 23:00,49.93,,,,,,,,,,,
01/07/2012 23:30,50.20,,,,,,,,,,,
02/07/2012 00:00,54.73,,,,,,,,,,,
02/07/2012 00:30,49.41,,,,,,,,,,,
02/07/2012 01:00,49.06,,,,,,,,,,,
02/07/2012 01:30,46.15,,,,,,,,,,,
02/07/2012 02:00,46.35,,,,,,,,,,,
02/07/2012 02:30,46.48,,,,,,,,,,,
02/07/2012 03:00,47.69,,,,,,,,,,,
02/07/2012 03:30,50.23,,,,,,,,,,,
02/07/2012 04:00,53.47,,,,,,,,,,,
02/07/2012 04:30,47.57,,,,,,,,,,,
02/07/2012 05:00,50.01,,,,,,,,,,,
02/07/2012 05:30,61.89,,,,,,,,,,,
02/07/2012 06:00,69.57,,,,,,,,,,,
02/07/2012 06:30,79.03,,,,,,,,,,,
02/07/2012 07:00,78.75,,,,,,,,,,,
02/07/2012 07:30,77.73,,,,,,,,,,,
02/07/2012 08:00,89.76,,,,,,,,,,,
02/07/2012 08:30,86.55,,,,,,,,,,,
02/07/2012 09:00,77.09,,,,,,,,,,,
02/07/2012 09:30,100.02,,,,,,,,,,,
02/07/2012 10:00,87.94,,,,,,,,,,,
02/07/2012 10:30,79.89,,,,,,,,,,,
02/07/2012 11:00,75.06,,,,,,,,,,,
02/07/2012 11:30,75.06,,,,,,,,,,,
02/07/2012 12:00,75.06,,,,,,,,,,,
02/07/2012 12:30,75.85,,,,,,,,,,,
02/07/2012 13:00,75.85,,,,,,,,,,,
02/07/2012 13:30,75.85,,,,,,,,,,,
02/07/2012 14:00,77.41,,,,,,,,,,,
02/07/2012 14:30,75.90,,,,,,,,,,,
02/07/2012 15:00,75.90,,,,,,,,,,,
02/07/2012 15:30,81.88,,,,,,,,,,,
02/07/2012 16:00,69.83,,,,,,,,,,,
02/07/2012 16:30,77.06,,,,,,,,,,,
02/07/2012 17:00,88.77,,,,,,,,,,,
02/07/2012 17:30,93.97,,,,,,,,,,,
02/07/2012 18:00,93.68,,,,,,,,,,,
02/07/2012 18:30,94.56,,,,,,,,,,,
02/07/2012 19:00,93.04,,,,,,,,,,,
02/07/2012 19:30,88.41,,,,,,,,,,,
02/07/2012 20:00,84.62,,,,,,,,,,,
02/07/2012 20:30,80.58,,,,,,,,,,,
02/07/2012 21:00,84.04,,,,,,,,,,,
02/07/2012 21:30,81.21,,,,,,,,,,,
02/07/2012 22:00,58.39,,,,,,,,,,,
02/07/2012 22:30,49.27,,,,,,,,,,,
